model_name,accuracy,precision,recall,f1,category
yolo26n_cls,0.9855072498321533,,,0.9855072498321533,YOLO (pretrained)
mobilenet_elu,0.9492753623188406,0.9078947368421053,1.0,0.9517241379310345,MobileNetV2 (fine-tuned)
mobilenet_leaky_relu,0.9420289855072463,0.8961038961038961,1.0,0.9452054794520548,MobileNetV2 (fine-tuned)
mlp_random_search,0.9420289855072463,0.9178082191780822,0.9710144927536232,0.943661971830986,MLP HParam Search
mobilenet_gelu,0.9420289855072463,0.9295774647887324,0.9565217391304348,0.9428571428571428,MobileNetV2 (fine-tuned)
mobilenet_selu,0.9347826086956522,0.8846153846153846,1.0,0.9387755102040816,MobileNetV2 (fine-tuned)
mobilenet_relu,0.927536231884058,0.8933333333333333,0.9710144927536232,0.9305555555555556,MobileNetV2 (fine-tuned)
mobilenet_elu,0.8695652173913043,0.8227848101265823,0.9420289855072463,0.8783783783783783,MobileNetV2 (frozen)
mobilenet_leaky_relu,0.8695652173913043,0.8227848101265823,0.9420289855072463,0.8783783783783783,MobileNetV2 (frozen)
mobilenet_selu,0.8695652173913043,0.8227848101265823,0.9420289855072463,0.8783783783783783,MobileNetV2 (frozen)
mobilenet_gelu,0.8695652173913043,0.8227848101265823,0.9420289855072463,0.8783783783783783,MobileNetV2 (frozen)
mobilenet_relu,0.8623188405797102,0.8125,0.9420289855072463,0.8724832214765101,MobileNetV2 (frozen)
hog_svm,0.8478260869565217,0.8,0.927536231884058,0.8590604026845637,Sklearn Baseline
hog_mlp,0.8405797101449275,0.7831325301204819,0.9420289855072463,0.8552631578947368,Sklearn Baseline
optim_adam,0.8405797101449275,0.8405797101449275,0.8405797101449275,0.8405797101449275,Optimiser Comparison
optim_lbfgs,0.8188405797101449,0.8548387096774194,0.7681159420289855,0.8091603053435115,Optimiser Comparison
optim_sgd,0.782608695652174,0.7746478873239436,0.7971014492753623,0.7857142857142857,Optimiser Comparison
cnn_elu,0.5942028985507246,0.552,1.0,0.711340206185567,CNN Scratch
cnn_relu,0.6739130434782609,0.65,0.7536231884057971,0.697986577181208,CNN Scratch
cnn_leaky_relu,0.5434782608695652,0.5227272727272727,1.0,0.6865671641791045,CNN Scratch
cnn_selu,0.5144927536231884,0.5073529411764706,1.0,0.673170731707317,CNN Scratch
cnn_gelu,0.5144927536231884,0.5073529411764706,1.0,0.673170731707317,CNN Scratch
optim_nelder_mead,0.4855072463768116,0.4915254237288136,0.8405797101449275,0.6203208556149732,Optimiser Comparison
