hidden_sizes,activation,dropout,lr,best_val_loss
"(256,)",elu,0.4,0.001,0.10270557541778122
"(128, 64, 32)",relu,0.2,0.001,0.12162749177735785
"(128,)",gelu,0.0,0.0003,0.13965691985103532
"(256,)",relu,0.0,0.0001,0.16122251479090124
"(128,)",relu,0.0,0.001,0.17505755652066157
"(256,)",selu,0.0,0.001,0.17581231622160345
"(256, 128)",elu,0.0,0.0003,0.190935003908648
"(128, 64, 32)",gelu,0.4,0.0003,0.20034299904237624
"(256,)",gelu,0.4,0.0003,0.2018999185251153
"(256, 128)",elu,0.4,0.0001,0.20791313592074573
"(256,)",relu,0.4,0.0001,0.21698613616003506
"(128,)",elu,0.4,0.0001,0.2333906463522842
"(128,)",selu,0.2,0.0001,0.23420262433912442
"(256,)",gelu,0.4,0.0001,0.2783305481940076
"(128,)",elu,0.2,0.0003,0.27972759867923846
