epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,19.1496,0.61526,0.89855,1,0.33991,0.0005001,0.0005001,0.0005001
2,39.0879,0.44599,0.98551,1,0.12572,0.000991702,0.000991702,0.000991702
3,57.4443,0.40436,0.94203,1,0.12538,0.00145772,0.00145772,0.00145772
4,75.6265,0.453,0.91304,1,0.2073,0.00154323,0.00154323,0.00154323
5,94.199,0.35851,0.95652,1,0.14536,0.00150197,0.00150197,0.00150197
6,112.475,0.47021,0.95652,1,0.11134,0.00146071,0.00146071,0.00146071
7,130.234,0.34348,0.97101,1,0.13574,0.00141945,0.00141945,0.00141945
8,148.519,0.28807,0.71014,1,0.70718,0.00137819,0.00137819,0.00137819
9,168.513,0.31936,0.95652,1,0.09937,0.00133693,0.00133693,0.00133693
10,189.38,0.29551,0.98551,1,0.05494,0.00129568,0.00129568,0.00129568
11,210.653,0.30737,0.92754,1,0.15022,0.00125442,0.00125442,0.00125442
12,232.055,0.28044,0.95652,1,0.10226,0.00121316,0.00121316,0.00121316
13,253.051,0.28984,0.89855,1,0.63353,0.0011719,0.0011719,0.0011719
14,273.774,0.2372,0.97101,1,0.07964,0.00113064,0.00113064,0.00113064
15,295.418,0.19446,0.95652,1,0.06741,0.00108938,0.00108938,0.00108938
16,316.455,0.23927,0.95652,1,0.07584,0.00104813,0.00104813,0.00104813
17,337.199,0.18809,0.97101,1,0.06869,0.00100687,0.00100687,0.00100687
18,357.597,0.25618,0.95652,1,0.08423,0.00096561,0.00096561,0.00096561
19,378.114,0.17061,0.97101,1,0.0508,0.000924352,0.000924352,0.000924352
20,399.944,0.1832,0.95652,1,0.03974,0.000883093,0.000883093,0.000883093
21,421.442,0.19233,0.98551,1,0.04456,0.000841835,0.000841835,0.000841835
22,441.189,0.17933,0.98551,1,0.04937,0.000800577,0.000800577,0.000800577
23,460.24,0.20897,1,1,0.03265,0.000759318,0.000759318,0.000759318
24,480.372,0.15291,0.92754,1,0.09283,0.00071806,0.00071806,0.00071806
25,501.82,0.1959,1,1,0.04084,0.000676802,0.000676802,0.000676802
26,520.767,0.12731,0.97101,1,0.02388,0.000635544,0.000635544,0.000635544
27,539.647,0.10248,0.98551,1,0.02512,0.000594286,0.000594286,0.000594286
28,560.292,0.13932,0.98551,1,0.03236,0.000553027,0.000553027,0.000553027
29,579.181,0.10832,0.98551,1,0.06781,0.000511769,0.000511769,0.000511769
30,598.192,0.13732,0.98551,1,0.05344,0.000470511,0.000470511,0.000470511
31,617.205,0.13827,0.98551,1,0.03691,0.000429253,0.000429253,0.000429253
32,636.329,0.10383,1,1,0.05058,0.000387994,0.000387994,0.000387994
33,655.506,0.09153,0.98551,1,0.08069,0.000346736,0.000346736,0.000346736
34,674.61,0.11585,1,1,0.03189,0.000305478,0.000305478,0.000305478
35,693.246,0.09407,0.98551,1,0.02238,0.00026422,0.00026422,0.00026422
36,712.038,0.07999,0.98551,1,0.02228,0.000222961,0.000222961,0.000222961
37,730.829,0.10178,1,1,0.0277,0.000181703,0.000181703,0.000181703
38,749.826,0.11565,1,1,0.01731,0.000140445,0.000140445,0.000140445
39,768.435,0.17193,1,1,0.02381,9.91865e-05,9.91865e-05,9.91865e-05
40,788.377,0.092,1,1,0.01877,5.79283e-05,5.79283e-05,5.79283e-05
