epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,16.6625,0.64458,0.77333,1,0.46845,0.00038341,0.00038341,0.00038341
2,35.2702,0.43096,0.89333,1,0.2694,0.000773794,0.000773794,0.000773794
3,52.3388,0.30392,0.93333,1,0.26864,0.00115428,0.00115428,0.00115428
4,67.7248,0.39534,0.68,1,0.69487,0.00152486,0.00152486,0.00152486
5,83.9311,0.31616,0.74667,1,0.85492,0.00158448,0.00158448,0.00158448
6,99.651,0.33878,0.64,1,1.13685,0.00156385,0.00156385,0.00156385
7,115.614,0.26313,0.76,1,0.53845,0.00154323,0.00154323,0.00154323
8,130.896,0.24506,0.61333,1,1.40095,0.0015226,0.0015226,0.0015226
9,146.473,0.20504,0.85333,1,0.31529,0.00150197,0.00150197,0.00150197
10,161.618,0.23132,0.96,1,0.12525,0.00148134,0.00148134,0.00148134
11,176.675,0.10517,0.96,1,0.11249,0.00146071,0.00146071,0.00146071
12,191.79,0.15087,0.8,1,0.28803,0.00144008,0.00144008,0.00144008
13,206.492,0.15848,0.93333,1,0.22046,0.00141945,0.00141945,0.00141945
14,220.614,0.1267,0.73333,1,0.94957,0.00139882,0.00139882,0.00139882
15,235.153,0.13669,0.82667,1,0.39224,0.00137819,0.00137819,0.00137819
16,249.974,0.18511,0.78667,1,0.50739,0.00135756,0.00135756,0.00135756
17,264.657,0.19352,0.82667,1,0.32713,0.00133693,0.00133693,0.00133693
18,279.571,0.1331,0.88,1,0.20118,0.0013163,0.0013163,0.0013163
19,294.749,0.13586,0.90667,1,0.26471,0.00129568,0.00129568,0.00129568
20,309.904,0.1349,0.94667,1,0.16124,0.00127505,0.00127505,0.00127505
21,325.204,0.11914,0.72,1,0.64926,0.00125442,0.00125442,0.00125442
22,340.207,0.07925,0.90667,1,0.24621,0.00123379,0.00123379,0.00123379
23,355.499,0.11097,0.70667,1,0.64129,0.00121316,0.00121316,0.00121316
24,370.366,0.12979,0.86667,1,0.22673,0.00119253,0.00119253,0.00119253
25,385.135,0.09294,0.89333,1,0.22835,0.0011719,0.0011719,0.0011719
