epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,8.17481,0.18504,0.91576,1,0.16803,0.000552742,0.000552742,0.000552742
2,15.2306,0.08487,0.922,1,0.24242,0.00109469,0.00109469,0.00109469
3,22.4668,0.10751,0.91732,1,0.19074,0.00162289,0.00162289,0.00162289
4,29.6833,0.10584,0.90952,1,0.19356,0.00160511,0.00160511,0.00160511
5,37.2526,0.09456,0.922,1,0.21921,0.00158448,0.00158448,0.00158448
6,44.3546,0.0797,0.922,1,0.29464,0.00156385,0.00156385,0.00156385
7,51.514,0.05476,0.91576,1,0.19759,0.00154323,0.00154323,0.00154323
8,58.9146,0.05306,0.92044,1,0.40836,0.0015226,0.0015226,0.0015226
9,66.1699,0.03853,0.88924,1,0.38903,0.00150197,0.00150197,0.00150197
10,73.3917,0.02385,0.922,1,0.69393,0.00148134,0.00148134,0.00148134
11,80.5229,0.03021,0.922,1,0.47402,0.00146071,0.00146071,0.00146071
12,87.9007,0.03684,0.922,1,0.22897,0.00144008,0.00144008,0.00144008
13,95.2985,0.02078,0.922,1,0.85645,0.00141945,0.00141945,0.00141945
14,102.691,0.0452,0.92044,1,0.4018,0.00139882,0.00139882,0.00139882
15,109.904,0.02712,0.922,1,0.81047,0.00137819,0.00137819,0.00137819
16,117.177,0.02299,0.922,1,0.46252,0.00135756,0.00135756,0.00135756
17,124.45,0.02606,0.92044,1,0.62929,0.00133693,0.00133693,0.00133693
